date,code,name,share_change_100m,share_balance_100m,prev_date,prev_share_balance_100m,status,source,updated_at
20260703,510310.SH,易方达沪深300etf,-16.4700,91.7524,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:48+00:00
20260703,510330.SH,华夏沪深300etf,-0.0630,75.4855,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:48+00:00
20260703,588000.SH,华夏上证科创板50ETF,0.6000,311.9067,20260702,311.3067,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260706,159919.SZ,嘉实沪深300etf,-0.6660,53.6152,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:31+00:00
20260706,510300.SH,华泰柏瑞沪深300etf,-2.4840,168.2149,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:31+00:00
20260706,510310.SH,易方达沪深300etf,-0.5400,91.2124,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:31+00:00
20260706,510330.SH,华夏沪深300etf,-0.2790,75.2065,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:31+00:00
20260706,588000.SH,华夏上证科创板50ETF,-0.4200,311.4867,20260703,311.9067,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260707,159919.SZ,嘉实沪深300etf,-0.0540,53.5612,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:26+00:00
20260707,510300.SH,华泰柏瑞沪深300etf,2.7270,170.9419,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:26+00:00
20260707,510310.SH,易方达沪深300etf,0.0810,91.2934,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:26+00:00
20260707,510330.SH,华夏沪深300etf,-0.0630,75.1435,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:26+00:00
20260707,588000.SH,华夏上证科创板50ETF,-2.3100,309.1767,20260706,311.4867,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260708,159919.SZ,嘉实沪深300etf,0.1260,53.6872,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:48+00:00
20260708,510300.SH,华泰柏瑞沪深300etf,1.0890,172.0309,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:48+00:00
20260708,510310.SH,易方达沪深300etf,0.4050,91.6984,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:48+00:00
20260708,510330.SH,华夏沪深300etf,0.1980,75.3415,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:48+00:00
20260708,588000.SH,华夏上证科创板50ETF,-1.1700,308.0067,20260707,309.1767,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260709,159919.SZ,嘉实沪深300etf,-0.2520,53.4352,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:42+00:00
20260709,510300.SH,华泰柏瑞沪深300etf,0.1170,172.1479,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:42+00:00
